date_utc,scan_ts_utc,trades_today,wins,losses,winrate,avg_pnl,daily_pnl_sim,max_consec_losses,max_dd_sim
2026-03-06,2026-03-06T10:41:49.094813+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:42:38.501279+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:44:41.516205+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:46:46.994736+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:47:52.694045+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:48:48.697247+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:50:49.952951+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:52:53.335055+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:53:55.490691+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:54:56.365931+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:56:57.891877+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:58:59.741546+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T10:59:58.288189+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T11:01:03.284453+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:13:11.187464+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:15:10.682880+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:17:23.616876+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:20:31.985972+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:22:47.750461+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:26:27.342279+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:28:55.539936+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:31:25.420177+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:34:29.487278+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:37:12.307642+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:39:54.462926+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:42:10.610659+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:45:54.031616+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T12:48:32.794380+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T13:19:46.234446+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T13:21:06.926665+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T13:22:15.384077+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T13:23:37.183421+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T13:24:48.195866+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T13:26:13.097453+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T13:56:11.162457+00:00,1,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T13:57:33.349045+00:00,1,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T14:42:14.595492+00:00,1,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T14:44:44.010265+00:00,1,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T14:46:13.931482+00:00,2,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T14:47:24.305951+00:00,2,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T14:48:50.357665+00:00,2,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T14:49:58.853538+00:00,2,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T14:51:28.442076+00:00,2,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T14:52:37.951302+00:00,2,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T14:54:00.745409+00:00,2,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T14:55:09.125145+00:00,3,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T14:56:35.393578+00:00,3,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T15:11:13.250378+00:00,3,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T15:15:06.296482+00:00,3,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T15:18:25.913123+00:00,4,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T15:19:50.840190+00:00,4,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T15:20:32.863959+00:00,4,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T15:20:59.915993+00:00,4,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T15:22:24.345236+00:00,5,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T15:23:40.467506+00:00,5,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T15:25:19.250573+00:00,5,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T15:26:03.944493+00:00,5,0,0,0.0,0.0,0.0,0,0.0
2026-03-06,2026-03-06T15:26:29.599834+00:00,5,0,0,0.0,0.0,0.0,0,0.0
